filename,title,version,status,effective_date,owner,synthetic
01_Member_Eligibility_Onboarding_Policy_v2.2.pdf,Member Eligibility and Onboarding Policy,2.2,CURRENT,01 January 2026,Head of Member Services,YES
02_Lending_Affordability_Policy_v4.0.pdf,Lending and Affordability Policy,4.0,CURRENT,01 June 2026,Head of Lending,YES
02A_Lending_Affordability_Policy_v3.1_SUPERSEDED.pdf,Lending and Affordability Policy,3.1,SUPERSEDED,01 January 2025,Head of Lending,YES
03_Credit_Control_Arrears_Procedure_v3.0.pdf,Credit Control and Arrears Management Procedure,3.0,CURRENT,01 March 2026,Credit Control Manager,YES
04_Savings_Withdrawals_Policy_v2.1.pdf,Savings and Withdrawals Policy,2.1,CURRENT,01 April 2026,Head of Operations,YES
05_Complaints_Vulnerable_Members_Policy_v1.8.pdf,Complaints and Vulnerable Members Policy,1.8,CURRENT,01 February 2026,Member Experience Manager,YES
06_AML_KYC_Financial_Crime_Procedure_v3.3.pdf,"AML, KYC and Financial Crime Procedure",3.3,CURRENT,01 January 2026,MLRO,YES
07_Data_Protection_Retention_Policy_v2.5.pdf,Data Protection and Records Retention Policy,2.5,CURRENT,01 May 2026,Data Protection Officer,YES
08_Governance_Risk_Operational_Resilience_Policy_v2.0.pdf,"Governance, Risk and Operational Resilience Policy",2.0,CURRENT,01 January 2026,Chief Executive Officer,YES
09_Product_Service_Guide_2026.pdf,Member Product and Service Guide 2026,2026.1,CURRENT,01 June 2026,Product Manager,YES
10_IT_Change_Supplier_Management_Procedure_v1.6.pdf,IT Change and Supplier Management Procedure,1.6,CURRENT,01 March 2026,Head of Technology,YES
